filename,name,medium,location,artist,style,year,decade,text
./Images/t0.png,Sheppard Flats,Buildings,West of Great Court,"Richard Sheppard, Robson and Partners",Modernism,1960-68,1960s,"The Sheppard Flats — the first building constructed on the site, were originally conceived by the architect Richard Sheppard as the college’s ‘Married Quarters’. Tucked away on the west side of the college grounds, insulated from rowdy undergraduates by the vast swathes of playing field, the function of the Sheppard Flats were conceived, from the start, as that of housing a community of families. In a 1958 report which detailed his architectural design objectives, Sheppard commented on ‘the self-contained, introverted nature’ of his scheme for the quarters, an introversion which to him seemed ‘appropriate for family life’. At the same time, he conceived much interaction between the families living in the flats, noting in an early sketch that ‘there will probably be much visiting between occupiers’. The push-and-pull between these poles of introversion and extraversion structures the entire plan — possibly the most elegant in college — deforming and extruding the monastic quadrangle at the core of its architectural DNA. One must seriously entertain the idea that it was not Cowan Court but the very first building on site which holds the title of being the first free-standing quad in Churchill. It is also shocking to reflect on the fact that such a reimagining of an old archetype would have been radical, even impossible, scarcely 80 years before Sheppard’s plan. It was only in 1882, after all, that fellows at the University of Cambridge were no longer required to be celibate. <br> <br>

A plan based on a quad was not what Sheppard originally envisioned. His 1958 report called for ‘a group of single storey court houses’; he even intended to equip nine of these with garages. Each would have had a ‘generous living room overlooking [a] walled garden’. Sheppard's emphasis falls clearly on spaciousness and comfort. Space restrictions, however, seem to have compacted this ambition. Most of the college’s west side, after all, was to be taken up by squash courts. Compounding this was probably the fact that it became unsure whether the proposed road between Madingley and Huntingdon Roads, which would have cut through the college and served these houses' garages, was even to be built. An early sketch thus reconceives the Married Quarters as a block of flats; ‘walled garden[s]’ have been reduced to ‘private balconies’. On this sketch, Sheppard outlined some key objectives of the planned layout: among these, that the flats would ‘have light all round’, that entrances were to be grouped together for ‘ease of baby watching’, and that there should be a variety in the flat layouts (owing to the aforementioned frequent visiting between residents). <br> <br>

With the version of the plan that was built, Sheppard seems to have been struck by sudden inspiration. He was able to have his cake, eat it, and to still have some left over. The scheme is compact and modest in scale, yet seems sprawling and roomy. There is an openness to each flat, but the ground-level view of the complex is bewildering, almost forbidding. It is as if the whole building were all back and no facade. This lends inhabitants privacy and security. Furthermore Sheppard has managed to give each ground-floor flat has not just one — but two walled gardens: a front and a back garden. The first-floor flats each have a large open terrace and a balcony. The complex is an idyll of British village life reimagined for the age of the tower block and communal architecture. If Le Corbusier’s Unité tower blocks brought an urban way of life, with its streets and amenities, under one roof, Sheppard’s Married Quarters aimed to gather a village into one building — with the corresponding contraction of scale. <br> <br>

In certain ways, the scheme resembles Corbusier’s but laid flat on its side (meandering horizontals are surely the Sheppard flats’ most striking quality from a ground view). The permutation of a single basic cell, which subtly changes in layout and function depending on its orientation, might be a Corbusian echo. One enters the inner ring of flats on the ground floor (flat nos. 3, 8, 13 and 18), for example, through the front walled garden, into a long hallway from which any room in the flat is accessible. One enters the next ring (5, 10, 15, 20) of flats directly; the narrow hall, with kitchen to the left, suddenly opens up to the large living room, flanked by gardens on the left and right, accessible through screen doors. These are more dramatic in character. Those on the outermost ring (1, 6, 11, 16) are the largest (three bedrooms instead of two) and also the most open: both walled gardens face the outside world. The terrace houses on top, on the other hand, open up almost immediately upon entering to the living room overlooking the terrace; bedrooms are tucked away further behind in more private space; one turns and traverses a lobby to reach them. The originally-envisioned variety of layout has been preserved, as has the call for ‘light all around’; the device of clerestory windows — also a favourite device of Frank Lloyd Wright’s for achieving a balance between illumination and privacy — had been envisioned from very early on and eventually adopted. Receiving light while keeping inhabitants out of view, the slightly angled shape of the clerestory window frames, visually suggesting this receiving-in of light, is probably the only element of the building which betrays a certain and fussiness and over-decoration. <br> <br>

What of the shared entrances for ‘ease of baby watching’? To us now, this seems an almost bathetic hyper-specification on Sheppard's part, overemphasising perhaps the architecture’s focus on family. It seems to survive vestigially in the divided central ‘courtyard’ of the quad: four walled gardens which face each other and are accessible to each other via gates. Just as Le Corbusier’s Unité blocks grow out of the hollows formed between its series of interconnecting units — the hollows forming the axis of the Unités's internal ‘streets’ between flats — Sheppard’s scheme seems animated by this central hollow of the courtyard. Indeed, it seems as if the key to the whole pattern was unlocked when it was realised that the quad model which shaped the undergraduate courts (and indeed won Sheppard Robson the architectural competition) could also be applied to the Married Quarters scheme. The gardens are all walled off — most, apart from these four, face away from each other — but with the possibility of interaction. It is as if concentric rings of dialogue between looking inwards and looking outwards — the introversion of family life and connection with a community of families; the insulation of this community and its embeddedness in wider college life — extends in a whorl from this centre. It is perhaps a bonus that the sheer logic of this architectural balancing act results in what can just as easily have been a visual joke. The flats resemble an inversion of the swastika appropriated by the Nazis, sitting within a college dedicated to the very man who led the charge in Europe to destroy the regime that that symbol represented.
"
./Images/t1.png,Wolfson Flats,Buildings,West of Great Court,David Roberts,Modernism,1965-67,1960s,"Richard Sheppard’s original set of twenty married couples’ flats — today the Sheppard Flats — was an ingenious, elegant work of architecture, but it quickly became clear that these were inadequate for the college’s needs. The Charter of the college required that one out of every three students be engaged in postgraduate work, and by 1963 the number of postgraduates in residence numbered 101 — 28 of whom were married. It was, furthermore, projected that the number of married postgraduates would rise to 50 in the near future. It had become clear that more flats for families needed to be built. Handily, in 1962, the college had just completed the purchase of the site of 48 Storey’s Way, Whittingehame Lodge (the former home of the University genetics department) from the University for £20,250, with an eye to future development. The site was just over two acres in area and the house sitting on the site (still standing today) was then being used as a hostel for unmarried postgraduates. The solution to the housing shortage seemed obvious: a proposal was drawn up for a block of up to 40 flats for married residents on this site. <br> <br>

One major problem impeded this plan: funding. With East Court just about appearing, brick by brick, over the horizon, and several more stages of building to go, it was unclear just how much money the college Trust could divert from the main site for the postgraduate accomodation project without compromising future building. After some correspondence with the Master, Sir John Cockroft, the Wolfson Foundation — chaired by the prominent Scottish businessman Sir Isaac Wolfson — pledged £50,000 towards the building of the flats. Including this sum, a total of £123,000 was eventually obtained to construct 28 flats. There was also the possibility of spending £51,000 for a second stage of building, comprising the remaining 12. It was not much, but it would have to do. <br> <br>

The man for the job ended up being David Roberts, a Cambridge-based architect who had been teaching in the Department of Architecture for nearly twenty years, ever since the end of the war. A member of the 'old guard' at the Department, trained in the Beaux-Arts idiom, a fervent admirer of the architecture of the Italian Renaissance and English Baroque, Roberts was nonetheless one of the first architects to bring modernism to British university architecture, particularly to Cambridge. Notably, Roberts' Clare College Lodgings, completed in 1957, had set an important precedent. He had much experience working with individual Cambridge colleges on building projects. Just a couple of years before, Roberts' firm had designed possibly the most important accommodation blocks in his oeuvre, both handsome, playfully rational buildings — North Court at Jesus College, Cambridge (1963) and the Kenyon Building at St. Hugh’s College, Oxford (1964). Both are now Grade II listed. In fact, Roberts' practice had been among the 20 architectural firms which participated in the architectural competition for the Churchill College project. <br> <br>

For the Wolfson Flats project, however, economy was the watchword. At every level, a view was taken to keep costs as low as possible without unduly compromising build quality; the delay in the opening of the flats, owing to Roberts’ dissatisfaction with the quality of the interior finishing, speaks to some of the drawbacks of this approach. Nonetheless, Roberts worked admirably with what resources he had. His architectural objectives were simple. As he communicated in a note attached to his original proposal sketch: each flat should have a sunny aspect, having a view of the playing fields to the South, and each flat should have a private open space. In Roberts’ original sketch (reproduced on the left), this was achieved with a small walled courtyard for the ground floor flats and a terrace on the first floor. The sketch shows a cascade of stepped levels forming a shallow inverted ziggurat — reminiscent, perhaps, of Denys Lasdun’s New Court (the 'Typewriter') at Christs’ — following the natural fall of the site and forming a basin around the central courtyard. Later revisions cut back even on this first floor terrace, with balconies being now ‘indented' within the facade, which gave the final building a much flatter aspect, but also a more complex frontal rhythm. The unbroken horizontal bands of the original plan, created by the first floor terrace, was replaced with a more undulant play of surface and depth. Other sacrifices had to be made: a ramp which would have provided access for prams to the upper levels was scrapped. A whole wing South of the Western block of flats disappeared from sketches. Roberts’ original notes called for white painted brickwork on the outside as well as on the inside of the building; it is to our aesthetic benefit that the brickwork — local light brown grade brick, of the same type used in the Insurance Building on St Andrew’s Street — was ultimately left exposed. <br> <br>

The Wolfson Flats finally opened to residents in 1966, after some delays, to little fanfare. It is unfortunate, furthermore, that there were consistent maintenance issues in its early years, with parts constantly needing to be fixed or replaced. Until the building was retrofitted in 2010 by 5th studio, there were complaints that the units were too small, the common room windowless, the layout too inflexible. There was, on the whole, a sense that the college was somewhat embarrassed by this building. This is perhaps unfair. What emerged from suffocating budgetary constraints was a building that was sensible, functional, and — if not elegant — pleasing enough. As in Roberts’ lovely North Court at Jesus College, there remains an interest in the counterpointing of vertical and horizontal rhythms in the facade, created by the play of intersecting forms, stripped down to their bare essentials: slender, Miesian verticals (here load-bearing) which evoke pilasters, horizontal bands of windows variously shaded and recessed. The open courtyard pattern provided both space and a sense of community. The college had accomplished its goal of providing housing for its growing membership of married postgraduates without breaking the bank. What is more — Churchill now had a building designed by one of the most prolific and important Cambridge architects: perhaps not his most notable achievement, but one in which a community of families continues to live and play sixty years on — benefitting also, of course, from an ambitious retrofitting of the Flats by the practice 5th Studio in 2010."
./Images/t2.png,Wolfson Flats Retrofit,Buildings,West of Great Court,5th Studio,Modernism,2010,2010s,"Completed in 2010, an ambitious retrofit of the then-ageing Wolfson Flats was undertaken by the London and Cambridge-based architectural practice 5th Studio, for which they won an Architects’ Journal prize. 5th Studio's projects (among these: the Lea River Park in London and Bloqs, in London’s growing Meridian Water development) place an emphasis on the streamlining of communal, urban living, aligned with principles of sustainable building. It is significant that the practice prefers to be known as a ‘spatial design’ practice: taking a greater interest in ‘the parts of architecture … that you can't see’, in ‘the human experience or technical capacity rather than in what the building looks like’, as highlighted on their website. <br> <br>

The Wolfson Flats retrofit project neatly embodies the practice’s philosophy. The college had initially considered demolishing the Wolfson Flats and redeveloping the site: the facilities — initially built under suffocating budgetary constraints — were ageing, and the flat layouts themselves were becoming outdated: too small, dark, and inflexible. David Roberts, the original architect, had been aware of the problem of space from the very beginning: he had petitioned the college to reduce the planned number of flats in order to give residents of each individual flat more space. 5th Studio achieved this long-awaited expansion of living space by taking advantage of the private courtyards in the original plan. By boxing these spaces up and cladding them with cedar panels, the project architects were able to increase living space in the ground- and first-floor maisonettes by nearly 12 square metres, opening up living rooms and enabling more flexible, open floor plans. The retrofit also involved introducing more natural light into David Roberts' building: a window was created in the community room (also allowing parents to monitor their children in the communal courtyard and playground below while indoors), while the forbidding brick staircase entrance on the building’s South-west was repositioned to open up the rear elevation. The second-floor perimeter walkway was also tastefully remodelled with cedar panelling and steel mesh. <br> <br>

5th Studio's introduction of the cedar motif, to visibly indicate points of intervention with Roberts’ original brutalist structure, seems to foreshadow the more radical ‘timber brutalism’ of 6a Architects’ Cowan Court. Though some of the panelling today seems to be in need of replacement, the wood is a warm and homely material, not out of line with Richard Sheppard’s original intention in selecting the earthy brick that he did for the original college site. It is also a handy visual shorthand — just as it is for Cowan Court — for a building which takes an interest in sustainable building practices. Energy efficiency in the building, for example, was increased with the fitting of new insulation. Indeed: the entire ethos of retrofitting, instead of demolishing and building anew, falls in line with this ethos of energy-efficiency. To Tom Holbrook, director of 5th Studio, the project represents one way of confronting, working with and rethinking the legacy of the 1960s architecture embodied by Churchill College, one of Britain’s very first postwar modernist university buildings. In an interview on the Wolfson Flats project, he stated, ‘there is a magnificent legacy from the building boom of the 1960s that is just coming to the end of its natural life and needs rethinking… in an age of scarce resources, retrofitting is going to be one of the most important areas of reducing energy use in buildings’. "
./Images/t3.png,Whittingehame Lodge,Buildings,West of Great Court,Dunnage and Hartmann,Arts and Crafts,1914,1910s,"Now converted to postgraduate housing, the Arts-and-Crafts Whittingehame Lodge was the original home of the University’s genetics department Its construction of which was completed in 1914 and overseen by Dunnage and Hartmann (the firm of Scottish architects G E Dunnage and Charles Herbert Hartman). A major contributor towards the endowment for a school of genetics at Cambridge, an endowment which included the construction of Whittingehame Lodge, was Arthur Balfour — Prime Minister 1902-5. The Balfours' country seat, Whittingehame, even provided the name of this research station-cum-residence. The Balfours were enthusiastic supporters of biological research, seeking to honour the memory of Francis Maitland Balfour, once heir apparent to Charles Darwin in the minds of his scientific colleagues at Cambridge before his untimely death on Mont Blanc. Arthur Balfour was, in particular, invested in the rising tide of Mendelian genetics, a field of biological research then being pioneered by William Bateson (Francis Balfour’s student). It was Bateson himself who coined the term ‘genetics’ in English. <br> <br>
 
Part of Balfour’s endowment went towards the construction of Whittingehame Lodge, which was seen as essential for research in this burgeoning area of study. It was seen as essential that the newly-appointed Arthur James Balfour Professor of Genetics be put in close proximity as possible to his research materials: that he should have, in addition to residential facilities, a laboratory for the breeding of animals, a generous garden for experiments in plant breeding, and a cottage to house a gardener. A country estate in miniature, the very architecture of Whittingehame Lodge is a fascinating relic which reflects the roots of Victorian science in the spaces and social circles of the aristocracy. To quote the historian of science Donald Opitz on the Lodge, ‘Academic genetics was thus modeled on an older form of country-house natural history in rationale, design, and now name … The cultivation of genetics in the Cambridge countryside involved the marrying of Victorian field-based methods with the developing Mendelian experimental program that, by necessity of the research questions, required centralization of field and laboratory within a single site where the researcher could “live with his materials.”’. It is fitting, perhaps, that the Lodge should have then found itself under the aegis of Churchill College, whose architecture itself reflects an aspirational description of the institution's scientific function and technocratic ideals. <br> <br>

The house was subsequently inhabited by Reginald Punnett (of Square fame), then by the prominent biologist and statistician Ronald Fisher (in recent years controversial for his unfortunate, abhorrent support for eugenics), who dedicated part of the garden for growing Mendel’s original pea species as a tribute to the abbott. Even by Punnett’s time, however, the design of Whittingehame Lodge was increasingly becoming viewed as inadequate for the needs of genetics research. By 1960, then, it was high time for the department to head to greener pastures — specifically, a new site at the old Veterinary School on Milton Road. It was a stroke of luck for Churchill College, which was looking for space to house its undergraduates while building works were in progress. Sir John Cockroft, Churchill’s first master, had expressed interest in purchasing the site as early as 1959. By July 1961, the University had given approval for the sale of the land to Churchill after John Thoday, Fisher’s successor as Arthur Balfour professor of genetics, withdrew his interest in purchasing the site. The large gardens on the two-acre grounds, once the breeding grounds of Punnett and Fisher’s plant genetics experiments, would soon make way for the Wolfson Flats. 
"
./Images/t4.png,Chapel,Buildings,West of Great Court,"Richard Sheppard, Robson and Partners",Modernism,1966-67,1960s,"A Byzantine church in high modernist style, Richard Sheppard’s Chapel is one of the college’s architectural gems. The story of the chapel at (not of!) Churchill College is at this point well-rehearsed. Constructed in 1967, it sits on land far away from its initial, prominent Storey’s Way location which was so fiercely opposed by such founding fellows as Sir Francis Crick, co-discoverer of the structure of DNA. This earlier scheme — which saw the Chapel situated between the boiler house and the porter’s lodge, underwent numerous design changes, most of which looked very different from what was eventually built. One design featured barrel vaults which would have echoed those of the dining hall’s. <br> <br>

It was perhaps just as well that Sheppard, pushed by the change of location, conceived the wonderful structure we have instead. Its modest dimensions, its distinctive, squat silhouette, its earthy exterior brickwork, all conjure to mind the serene, humble grandeur of an early Christian edifice like the Byzantine-era Mausoleum of Galla Placidia (a royal tomb) in Ravenna. Structurally, the chapel nakedly evokes the byzantine cross-in-square plan (the earliest of truly Byzantine innovations in church architecture, the first examples of which were built in the 8th century) upon which it is based. Interior function, which in the symbolically-laden language of the church plan also represents a collective spiritual function, is bared in external form. The cross-shaped roof slices through the central square worship-space (in the technical language of church architecture: the <em>naos</em>) embedding itself above it. Meanwhile, an annex (the byzantine <em>narthex</em>) extrudes from the chapel’s northerly wall. Glass panel windows offer a view from the outside to the conventionally-located baptismal font within the <em>narthex</em> space. The most obvious innovation in the Church's exterior form is that of a sort of inversion of the traditional dome: the funnel-shaped pattern of the skylights on the chapel roof seem to invite light into the space. If the magnificent domes of major basilicas and baptisteries are meant to evoke the mystery of the cosmos, the skylights provide access to the thing itself. <br> <br>

This motif — this stripping-away of pretension with modernist material, laying bare the sacred material of traditional Church form — continues as one enters the space. The perforations punched out by the cross roof are paned by iridescent stained glass, beautifully designed by John Piper and made by Patrick Reyntiens. The light that filters through these and the skylights perfectly dramatises the chapel’s central volume, filtering onto the centrally-placed altar, highlighting the four slender concrete pillars which divide the space. The pillars intersect with a concrete grid which divides the timber-panelled roof into a three-by-three square: these intersections are echoed in the intersected form of the suspended cross above the altar. Indeed, the grid itself is echoed by the smaller three-by-three square created by the skylights in the center: lending the roof a fractal-like sense of recession — as if imitating the recession of the absent dome. <br> <br>

These materials laid bare — concrete, brick, wood — are wonderfully tactile and inviting to the senses: this is a church which seeks not to strike awe, but which seeks to invite the visitor to exist as part of it, to interact with it. Gone is the traditional Byzantine apse, with its hieratic, raised <em>bema</em> (where the clergy and Holy Table would have been placed). There remains a slight recession in the wall where the <em>bema</em> would have been, but this makes space for the organ. The <em>narthex</em> — home of the unbaptised, the uninitiated (the <em>narthex</em> is where these would have stood in a Byzantine church) — remains, and retains its crucial, traditional symbolic role as a portal to the world outside the church. Punched out of the wall, the square created by the narthex extends the central grid into the surrounding landscape and becomes, as a result, the foot of the embedded cross of the floor plan, its glass panels opening up a view to the outside.
"
./Images/t5.png,Archives Centre,Buildings,Great Court,"Richard Sheppard, Robson and Partners",Modernism,1971-73,1970s,"The Archives Centre, opened in 1973, was built to house the papers of Winston Churchill. Its powerful verticals, continuing those which front the Bracken Library and unifying the building’s eastern elevation, lend it a magisterial presence. These soaring concrete mullions (echoing those found on the dining hall windows) convey a sense of security while also echoing the ordered rows of shelves — library and archival — within the building. There is something classical about the building's proportions, frightfully symmetrical, ceremonially raised on a concrete plinth. A beautifully-shaped, gracefully forbidding door, created by the sculptor Geoffrey Clarke, who also designed the gate outside the porter’s lodge, completes the design. The prominent position and commanding presence of the Archive in the great court — unusual for a Cambridge college — is fitting in a college which was always meant to serve as ‘a bridge between the achievements of the past and the possibilities of the future’."
./Images/t6.png,Pavilion,Buildings,West of Great Court,"Richard Sheppard, Robson and Partners",Modernism,1966-67,1960s,"Completed in 1967, the Churchill Sports Pavilion was one of the last buildings on the original site to open its doors to students. It was the place where parties and events were held until its reconfiguration in the 1990s, and was affectionately known among students as the ‘Pav’. <br> <br>

A notice circulated in October 1967 states succinctly that the building had been ‘designed both as a Pavilion and also as a place where parties can be held’. This description is actually rather idiosyncratic, because modern sports pavilions had — for many decades since the Great War — sought to incorporate facilities for social gatherings alongside sporting and washing facilities. The taxonomy and evolutionary history of the humble British sports pavilion as a building type — and its role in the story of modernism in British school architecture — is a fascinating story that has yet to be written. See, for example, Pembroke College’s sports pavilion on Grantchester Road,  built in 1939 and extended in the 1980s, which echoes the international style of architectural modernism. Richard Sheppard’s pavilion grapples with the same problems of spatial arrangement as all sports pavilion buildings of this type, which result from the interplay between small, segregated, private areas (changing and washing rooms) and large, open, social spaces which also demand a view of the sports grounds that the pavilion services. An early sketch from 1962 saw Sheppard considering a more conventional layout — with entrances to changing rooms directly facing out to the fields, in the same direction as the entrance to a much smaller club room. By 1966, however, Sheppard had begun to embrace the more Miesian implications of what the word 'pavilion' suggested. Sheppard didn't open the building up all the way, certainly not to the extent of Mies Van der Rohe's Barcelona Pavilion or Neue Nationalgalerie, but he did enough to open up nearly the whole facade with windows in a manner which suggested glass curtains. <br> <br>

This rearrangement was prompted as much by several changes to the layout demanded by the college owing to the budget (the removal of gyms, for example), as by the way modern materials could meet the simple demands of the building type. What would be more natural — if the entire facade could be opened up by glass in this way — than to push the private changing and washing rooms deeper into the building (accessed now from the east side of the building), pushing the open areas right to the front? There would now be a club room in the west half and a games room on the east — both allowing daytime users an attractive view to the sports fields. The only concern, now, was noise levels: there were worries that ‘the amplified cacophony that seems essential to a party’, as Sheppard put it, might not be adequately contained by glass, and there seems to have been some pressure to wall up the facade to mitigate against this. To settle the question, a fifteen-piece orchestra was brought into the building to test the noise-dampening properties of the material. Thankfully, the glass was deemed effective enough, and with the addition of curtains, the college and the architects were satisfied that parties could go on without disturbing the occupants of the nearby North Court. <br> <br>

The Pavilion seems to have been a successful design: apart from parties and discos — table tennis tournaments, karate sessions, conferences, and even weddings took place in this space, which was extended in 1979 with new music room facilities, and then almost completely refitted in 1993 as part of David Thurlow's Study Centre project. Today, Sheppard’s somewhat bulky grid of softwood-framed windows in front of the west-half Club room has been replaced by sleeker metal-framed ones; the club room has been converted to a gymnasium. As a result, it is today perhaps too easily ignored: though it is certainly far from one of the most aesthetically successful the original buildings on the site, having been built under a tighter budget, the glass-fronted Pav is still of great architectural interest for how the unique demands of the sports pavilion building type impelled Sheppard to modify the more solid, monumental idiom he had developed for the other College buildings.
"
./Images/t7.png,Music Rooms,Buildings,West of Great Court,"Richard Sheppard, Robson and Partners",Retrofit,1979-80,1970s,"In 1979, Sheppard, Robson and Partners was commissioned to design a single-storey extension to the existing sports pavilion (then affectionately known among college members as the ‘Pav’), which was to contain musical facilities. In 1980, the newly-constructed extension was inaugurated by Lady Mary Soames — the youngest of Sir Winston Churchill’s children. It is a utilitarian, unpretentious plan. A 100 metre square recital room took centre stage, flanked by three smaller practice rooms and storage areas. The recital room was supplied with ample natural light through full height sliding windows, with a view into the walled garden courtyard to the north. This general idea, in fact, has been preserved in the current Music Centre. This building would be the last in the college designed by Richard Sheppard’s firm — the college’s original architects. Though it would later be swallowed up by future additions to the site, the decision to extend the sports pavilion set the stage for future expansions in this area: David Thurlow’s Study Centre in 1993, and the New Study & Music Centre in designed by DSDHA (Deborah Saunt and David Hills Architects) 2007 which replaced it. The result is what Professor Mark Goldie, in his <em>Churchill College Cambridge: The Guide</em>, quite rightly calls a ‘palimpsest’ of architecture, progressively enlarged over the four decades between 1967 and 2007 by three different architects. This cross-temporal architectural mishmash is surely among the most unusual and fascinating architectural features of the site. Today, the original music centre has been converted into office space and training rooms for the Study Centre. It seems fitting that Richard Sheppard’s final contribution to Churchill College, intentionally or not, was taken as an invitation to future architects to join in."
./Images/t8.png,Study Centre,Buildings,West of Great Court,"David Thurlow, Carnell and Thornburrow",Retrofit,1992-93,1990s,"This creative extension and reimagining of Richard Sheppard’s original sports pavilion was college consultant architect David Thurlow’s economical response to a confluence of building needs. There was a desire to upgrade the college’s existing music rooms, built in 1979 as an extension at the back of the pavilion, to improve their acoustics and sound insulation. More pressingly, there was a need to supplement the teaching facilities in the newly-built Møller Centre, particularly a need to build larger classrooms. Furthermore, there were concerns about the appearance of the existing pavilion. Then-Bursar Michel Allen, for instance, was not a fan: he thought the existing pavilion sat uncomfortably between the Møller Centre and the college. Neither was the Centre’s architect, Henning Larsen, who in an early draft plan even suggested demolishing it and replacing it with a pavilion of his own design. <br> <br>

Thurlow’s response was to combine these needs by extending the pavilion east to create new study spaces, threading a spine through the complex to connect the new and old buildings, refurbishing the music rooms and reworking the facade of the pavilion to create a single, multi-purpose building. It was a clean, economical solution — much more so than his original, tentative proposal to demolish the pavilion and replace it with a completely new set of buildings. There is a pleasing, almost offbeat rhythm to Thurlow's new facade, a more lightweight feel that Sheppard’s original lacked, which helps it to mediate between the earthy, rectilinear solidity of the original college buildings and the Danish airiness of Larsen’s Møller Centre.  <br> <br>

The building itself pulls off postmodern playfulness even more successfully than its neighbour: idiosyncratic moments such as the single circular window on its western elevation (a reference, perhaps to the circular cutouts of the Møller Centre?), the almost comically elongated glass gable roof (which still stands out in a sea of modernist flat roofs), the incorporation of older buildings — this is playful architecture. The spinal lobby — an extension of the west-facing brise-soleil, suggests a bridging of the interior and exterior of the building, a sense heightened by the use of glass roofing over this lobby and the use of wood: plywood supported on Glulam wood beams: it is an interior which breathes the air outside. 
"
./Images/t9.png,AC Extension,Buildings,Great Court,"David Thurlow, Carnell, and Curtis",Retrofit,2001-2002,2000s,"Designed by Thurlow, Carnell, and Thornburrow, and opened in 2002, the extension of the Archives Centre was spurred by the arrival of the papers of Margaret Thatcher, who spearheaded the funding appeal for the building. Four storeys high and built to exacting specifications, the new wing of the Archives Centre features a prominent inscription, bearing names of donors and a quotation from a speech given by Churchill in July 1938 at Bristol University: ‘‘The inheritance bequeathed to us by former wise or valiant men becomes a rich estate to be enjoyed and used by all’."
